kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route
SITE,Maddy TL,,,,259,,,,,,18M,,,,,,18,13,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,260,,,,,,18N,,,,,,18,14,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,261,,,,,,18O,,,,,,18,15,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,262,,,,,,18P,,,,,,18,16,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,263,,,,,,19C,,,,,,19,3,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,264,,,,,,19D,,,,,,19,4,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,265,,,,,,19E,,,,,,19,5,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,266,,,,,,19F,,,,,,19,6,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,267,,,,,,19G,,,,,,19,7,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,268,,,,,,19H,,,,,,19,8,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,269,,,,,,19I,,,,,,19,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,270,,,,,,19J,,,,,,19,10,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,271,,,,,,19K,,,,,,19,11,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,272,,,,,,19L,,,,,,19,12,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,273,,,,,,19M,,,,,,19,13,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,274,,,,,,19N,,,,,,19,14,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,275,,,,,,19O,,,,,,19,15,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,276,,,,,,19P,,,,,,19,16,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,277,,,,,,20D,,,,,,20,4,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,278,,,,,,20E,,,,,,20,5,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,279,,,,,,20F,,,,,,20,6,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,280,,,,,,20G,,,,,,20,7,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,281,,,,,,20H,,,,,,20,8,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,282,,,,,,20I,,,,,,20,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,283,,,,,,20J,,,,,,20,10,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,284,,,,,,20K,,,,,,20,11,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,285,,,,,,20L,,,,,,20,12,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,286,,,,,,20M,,,,,,20,13,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,287,,,,,,20N,,,,,,20,14,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,288,,,,,,20O,,,,,,20,15,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,289,,,,,,21E,,,,,,21,5,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,290,,,,,,21F,,,,,,21,6,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,291,,,,,,21G,,,,,,21,7,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,292,,,,,,21H,,,,,,21,8,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,293,,,,,,21I,,,,,,21,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,294,,,,,,21J,,,,,,21,10,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,295,,,,,,21K,,,,,,21,11,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,296,,,,,,21L,,,,,,21,12,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,297,,,,,,21M,,,,,,21,13,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,298,,,,,,21N,,,,,,21,14,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,299,,,,,,22F,,,,,,22,6,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,300,,,,,,22G,,,,,,22,7,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,301,,,,,,22H,,,,,,22,8,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,302,,,,,,22I,,,,,,22,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,303,,,,,,22J,,,,,,22,10,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,304,,,,,,22K,,,,,,22,11,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,305,,,,,,22L,,,,,,22,12,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,306,,,,,,22M,,,,,,22,13,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,307,,,,,,23G,,,,,,23,7,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,308,,,,,,23H,,,,,,23,8,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,309,,,,,,23I,,,,,,23,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,310,,,,,,23J,,,,,,23,10,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,311,,,,,,23K,,,,,,23,11,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,312,,,,,,23L,,,,,,23,12,,,,,,,,,,,,,,,,,
RECIPE,Maddy TL GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEP,Maddy TL GAUGE,,,,1,,,,,,Settle after contact,delay,,,,,,,1000,,,,,,,,,,,,,,,,switch
STEP,Maddy TL GAUGE,,,,2,,,,,,Force Current,current,apply,SMU,A,,23:left,2:right,0.01,2.000,,,"4A11,2B02",,,,,,,,,,,1,switch
STEP,Maddy TL GAUGE,,,,3,,,,,,Settle after output ON,delay,,,,,,,200,,,,,,,,,,,,,,,,switch
STEP,Maddy TL GAUGE,,,,4,,,,,,Kelvin Resistance,resistance,measure,SMU,A,,23:left,2:right,,,,,"4A11,2B02",,,1,0,1,,,0,,,1,switch
STEP,Maddy TL GAUGE,,,,5,,,,,,Settle before DMM sense,delay,,,,,,,500,,,,,,,,,,,,,,,,switch
STEP,Maddy TL GAUGE,,,,6,,,,,,Kelvin Voltage (DMM),voltage,measure,DMM,,,1:rightm,24:leftm,,,,,"2F01,4E12",,,1,0,1,,,0,,,1,switch
STEP,Maddy TL GAUGE,,,,7,,,,,,Resistance Check,passfail,,,,Kelvin Resistance,,,,,,,,5,30,,,,,,,,,1,switch
STEP,Maddy TL GAUGE,,,,8,,,,,,Release,open,,,,all,,,,,,,all,,,,,,,,,,,,switch
STEP,Maddy TL GAUGE,,,,9,,,,,,Settle after release,delay,,,,,,,1000,,,,,,,,,,,,,,,,switch
SITE,Maddy TL GAUGE,,,,1,,,,,,02I,,,,,,2,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,2,,,,,,03E,,,,,,3,5,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,3,,,,,,03F,,,,,,3,6,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,4,,,,,,06D,,,,,,6,4,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,5,,,,,,10Q,,,,,,10,17,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,6,,,,,,11B,,,,,,11,2,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,7,,,,,,11R,,,,,,11,18,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,8,,,,,,13B,,,,,,13,2,,,,,,,,,,,,,,,,,
SITE,Maddy TL GAUGE,,,,9,,,,,,14R,,,,,,14,18,,,,,,,,,,,,,,,,,
